date,explanation,media_type,title,url,copyright
2001-01-01,"Welcome to millennium three.  During millennium two, humanity continually redefined its concept of Universe: first as spheres centered on the Earth, in mid-millennium as the Solar System, a few centuries ago as the Galaxy, and within the last century as the matter emanating from the Big Bang.  During millennium three humanity may hope to discover alien life, to understand the geometry and composition of our present concept of Universe, and even to travel through this Universe.  Whatever our accomplishments, humanity will surely find adventure and discovery in the space above and beyond, and possibly define the surrounding Universe in ways and colors we cannot yet imagine by the threshold of millennium four.",image,The Millennium that Defines Universe,https://apod.nasa.gov/apod/image/0001/flammarion_halfcolor_big.gif,nan
2001-01-02,"As the robot Cassini spacecraft rounds Jupiter on its way toward Saturn, it has taken a sequence of images of the gas giant with its four largest moons.  Previously released images have highlighted Ganymede and Io.  Pictured above are the two remaining Galilean satellites: Europa and Callisto.  Europa is the bright moon superposed near Jupiter's Great Red Spot, while Callisto is the dark moon near the frame edge.  Callisto is so dark that it would be hard to see here if its brightness was not digitally enhanced.  Recent evidence indicates that both moons hold salt-water seas under surface ice that might be home to extra-terrestrial life.  By noting the times that moons disappeared and reappeared behind Jupiter in 1676, Ole Roemer was able to make the first accurate estimation of the speed of light.",image,"Jupiter, Europa, and Callisto",https://apod.nasa.gov/apod/image/0101/JupEuroCall_cassini.jpg,nan
2001-01-03,"In the center of the Lagoon Nebula one finds glowing gas, star clusters, and dense knots of gas and dust just now forming stars.  The young open cluster of stars, designated NGC 6523, can be seen in the center of the above image.  These stars emit energetic light that ionizes the surrounding hydrogen gas.  As this gas reacquires electrons, it emits red light.  The Lagoon Nebula lies about 5000 light-years away and spans about 100 light-years across.   The nebula occupies an area on the sky larger than a full moon, and can be seen even without binoculars from a dark location towards the constellation of Sagittarius.",image,M8: In the Center of the Lagoon Nebula,https://apod.nasa.gov/apod/image/0101/m8_kitahara.jpg, Yuugi Kitahara 
2001-01-04,"The first eclipse of the third millennium is coming up! A total lunar eclipse mainly visible from Europe, Asia, and Africa, will occur on January 9th as the full Moon glides through the long, but not so dark shadow of planet Earth. Why not so dark? Sunlight is actually scattered and refracted into Earth's shadow by the atmosphere, a circumstance which can help create some striking photographs of the eclipsed Moon. For example, this image is a composite of photographs taken during the July 2000 total lunar eclipse. Early and late phases of the eclipse flank a deep exposure made during totality. The feeble sunlight still shining on the lunar surface gives the Moon a dramatic dark red cast. While the July 2000 eclipse was not the first or last of any millennium, it was remarkable for being the longest eclipse for about the next 1,000 years, totality lasting an impressive one hour and 47 minutes. Totality for the January 9th eclipse will last just over one hour.",image,"Third Millennium, First Eclipse",https://apod.nasa.gov/apod/image/0101/leclipse_espenak.jpg,Fred Espenak (courtesy of www.MrEclipse.com)  
2001-01-05,"Christmas Day 2000 featured the final eclipse of the Second Millennium -- a partial solar eclipse visible from much of North America. Astrophotographer Phil Rau recorded the entire event on a single image as the Sun and Moon arced through winter skies above Cary, North Carolina, USA. Using a well positioned, tripod mounted camera and a solar filter, Rau made a short exposure every 10 minutes from 11:00 am to 1:30 pm EST, covering the local duration of the eclipse. The resulting image beautifully illustrates the steady progress of the dark new Moon as it appears to take a bite out of the golden solar disk. From his location, at eclipse maximum (near picture center) just less than 50 percent of the Sun's diameter was covered by the Moon.",image,"Second Millennium, Last Eclipse",https://apod.nasa.gov/apod/image/0101/seclipse_rau3.jpg, Philipp Rau 
2001-01-06,"Awkward and angular looking, Apollo 17's lunar module Challenger was designed for flight in the vacuum of space. This sharp picture from the command module America, shows Challenger's ascent stage in lunar orbit. Small reaction control thrusters are at the sides of the moonship with the bell of the ascent rocket engine itself underneath. The hatch allowing access to the lunar surface is visible in the front and a round radar antenna appears at the top. This spaceship performed gracefully, landing on the moon and returning the Apollo astronauts to the orbiting command module in December of 1972 - but where is Challenger now? Its descent stage remains at the Apollo 17 landing site, Taurus-Littrow. The ascent stage was intentionally crashed nearby after being jettisoned from the command module prior to the astronauts' return to planet Earth. Apollo 17's mission was the sixth and last time astronauts have landed on the moon.",image,Apollo 17's Moonship,https://apod.nasa.gov/apod/image/0101/challenger_apollo17.jpg,nan
2001-01-07,"Tycho Brahe was the most meticulous astronomical observer of his time.  Brahe, who lived between 1546 and 1601, set out to solve the day's most pressing astronomical problem: to determine whether the Earth or the Sun was at the center of the Solar System.  To do this Brahe and his assistants created the first major astronomical observatory where they devised and used the most accurate pre-telescopic astronomical instruments.  Tycho Brahe thus compiled tables of precise measurements of the positions and brightnesses of planets and stars.  Brahe never solved the Solar System problem himself - but left data so impressively accurate his assistant Johannes Kepler was able to develop definitive laws. Brahe is also remembered for witnessing a supernova in 1572, showing that the Great Comet of 1577 was not an atmospheric phenomena, and for his metal nose.",image,Tycho Brahe Measures the Sky,https://apod.nasa.gov/apod/image/tycho_brahe.gif,nan
2001-01-08,"The large Martian crater above just left of center: is this a fresh crater, a degraded crater, or a ghost crater?  Complex image recognition tasks like these are currently done more reliably by a human than a computer.  Additionally, there are so many craters on Mars that NASA just doesn't have enough people to classify them all!  Therefore, you can help humanity's understanding of the surface of Mars by volunteering to classify craters.  All you need for this pilot study is a proper web browser and a mouse.  If asked to classify the above crater, you might best respond that it appears relatively fresh, as it exhibits a sharp rim and a well-preserved interior.  Degraded craters are typically older and have their rims more rounded, while ghost craters are the oldest of all and only faintly discernable.",image,Help NASA Classify Martian Craters,https://apod.nasa.gov/apod/image/0101/marscrater_nasa_big.jpg,nan
2001-01-09,"If you could send a message to an alien civilization, what would you say?  The people from the Cosmic Call project sent the above image as the first page of a longer message.  The message was broadcast toward local stars by radio telescope during the summer of 1999.  The single-dish, 70 meter diameter telescope is located in Ukraine on the Crimean peninsula near the town of Evpatoria. This first page involves only numbers and so is much easier for puzzle solvers to decode than a more famous message broadcast toward distant star cluster M13 in 1974.  (The solution is here.)",image,A Cosmic Call to Nearby Stars,https://apod.nasa.gov/apod/image/0101/message_dutil.gif, Yuvan Dutil &  Stephane Dumas 
2001-01-10,"If you could watch the sky for an entire night, what would you see?  The above time-lapse sequence from the CONtinuous CAMera (CONCAM) project shows the answer for the skies above Kitt Peak National Observatory on 2000 December 23.  First and foremost stars appear to orbit about Polaris, a star near the top of the image.  Actually, the Earth is spinning under the sky, and the camera is affixed to the Earth.  The diffuse band of light that moves across the image is actually the central disk of our Milky Way Galaxy.  Identifiable objects rotating across the frame include the constellation of Orion, stars such as Sirius and Betelgeuse, and planets such as Jupiter and Saturn.  The CONCAM project is deploying astronomical quality web-cameras to major observatories with goals of starting a continuous record of the sky and helping astronomers using large telescopes monitor weather conditions remotely.",image,Watch the Sky Rotate,https://apod.nasa.gov/apod/image/0101/sky_concam.gif,nan
