copyright,date,explanation,media_type,title,url
Jay Ouellet,2014-01-01,"That's not the young crescent Moon poised above the western horizon at sunset. Instead it's Venus in a crescent phase, captured with a long telephoto lens from Quebec City, Canada, planet Earth on a chilly December 30th evening. The very bright celestial beacon is dropping lower into the evening twilight every day. But it also grows larger in apparent size and becomes a steadily thinner crescent in binocular views as it heads toward an inferior conjunction, positioned between the Earth and the Sun on January 11. The next few evenings will see a young crescent Moon join the crescent Venus in the western twilight, though. Historically, the first observations of the phases of Venus were made by Galileo with his telescope in 1610, evidence consistent with the Copernican model of the Solar System, but not the Ptolemaic system.",image,A New Year's Crescent,https://apod.nasa.gov/apod/image/1401/VenusCrescentDec302013ouelletCrop.jpg
nan,2014-01-02,"Catching sight of your reflection in a store window or shiny hubcap can be entertaining and occasionally even inspire a thoughtful moment. So consider this reflective view from 300 kilometers above planet Earth. The picture is actually a self-portrait taken by astronaut Michael Fossum on July 8, 2006 during a space walk or extravehicular activity while the Discovery orbiter was docked with the International Space Station. Turning his camera to snap a picture of his own helmet visor, he also recorded the reflection of his fellow mission specialist, Piers Sellers, near picture center and one of the space station's gold-tinted solar power arrays arcing across the top. Of course, the horizon of our fair planet lies in background.",image,Reflections on Planet Earth,https://apod.nasa.gov/apod/image/1401/iss013e49644clevels.jpg
Damian Peach,2014-01-03,"A rival to vanquished Comet ISON in 2013, Comet Lovejoy (C/2013 R1) still sweeps through early morning skies, captured in this starry scene on New Year's day. The frame stretches some 3.5 degrees (about 7 full moons) across a background of faint stars in the constellation Hercules. Only just visible to the naked eye from dark sites before dawn, Lovejoy remains a good target for the northern hemisphere's binocular equipped skygazers. But this deep exposure shows off Lovejoy's beautiful tails and tantalizing greenish coma better than binocular views. Not a sungrazer, this Comet Lovejoy made its closest approach to the Sun around December 22, looping high above the ecliptic plane. Now headed for the outer Solar System, Lovejoy began the new year about 6.7 light-minutes from planet Earth.   Free lecture: APOD editor to speak in NYC Tonight",image,Lovejoy in the New Year,https://apod.nasa.gov/apod/image/1401/c2013_r1_2014_01_01dp950.jpg
Christoph Malin,2014-01-04,"A crescent Venus shines along the western horizon at dusk in this clearing sky. The Earth's sister planet is smiling between the low clouds near the bottom of the frame during its January 2nd conjunction with the slender, young crescent Moon above. Of course the lovely pairing of Moon and Venus crescents could be enjoyed in the new year's skies around the the world.  But the twin contrails in this scene belong to an aircraft above Appenzell, Switzerland. Soon to disappear from evening skies, Venus is heading toward its January 11th inferior conjunction and an appearance in predawn skies as planet Earth's morning star by late January. And the Moon will be young again, too.",image,Clouds and Crescents,https://apod.nasa.gov/apod/image/1401/Crescents2014_CMalinDSC8382s.jpg
" P.-A. Duc (CEA, CFHT), Atlas 3D Collaboration ",2014-01-05,"What's happening to galaxy NGC 474? The multiple layers of emission appear strangely complex and unexpected given the relatively featureless appearance of the elliptical galaxy in less deep images. The cause of the shells is currently unknown, but possibly tidal tails related to debris left over from absorbing numerous small galaxies in the past billion years. Alternatively the shells may be like ripples in a pond, where the ongoing collision with the spiral galaxy just above NGC 474 is causing density waves to ripple though the galactic giant. Regardless of the actual cause, the above image dramatically highlights the increasing consensus that at least some elliptical galaxies have formed in the recent past, and that the outer halos of most large galaxies are not really smooth but have complexities induced by frequent interactions with -- and accretions of -- smaller nearby galaxies. The halo of our own Milky Way Galaxy is one example of such unexpected complexity. NGC 474 spans about 250,000 light years and lies about 100 million light years distant toward the constellation of the Fish (Pisces).    News: Follow APOD on Instagram.",image,Galaxy NGC 474: Shells and Star Streams,https://apod.nasa.gov/apod/image/1401/ngc474_cfht_960.jpg
nan,2014-01-06,"Cubes are orbiting the Earth. Measuring ten-centimeters on a side, CubeSats -- each roughly the size of a large coffee mug -- are designed to be inexpensive both to build and to launch. Pictured above, three CubeSats were released from the International Space Station (ISS) last November by the arm of the Japanese Kibo Laboratory module. CubeSats are frequently created by students as part of university science or engineering projects and include missions such as collecting wide angle imagery of the Earth, testing orbital radio communications, monitoring the Earth's magnetic field, and exploring the Earth's surrounding radiations. Depending on the exact height of their release, CubeSats will re-enter the Earth's atmosphere on the time scale of months to years.   Astrophysicists: Browse 700+ codes in the Astrophysics Source Code Library",image,Three CubeSats Released,https://apod.nasa.gov/apod/image/1401/cubesats_iss038_960.jpg
 Lorand Fenyes ,2014-01-07,"M7 is one of the most prominent open clusters of stars on the sky.  The cluster, dominated by bright blue stars, can be seen with the naked eye in a dark sky in the tail of the constellation of the Scorpion (Scorpius). M7 contains about 100 stars in total, is about 200 million years old, spans 25 light-years across, and lies about 1000 light-years away.  The above deep image, taken last June from Hungary through a small telescope, combines over 60 two-minute exposures. The M7 star cluster has been known since ancient times, being noted by Ptolemy in the year 130 AD.  Also visible are a dark dust cloud and literally millions of unrelated stars towards the Galactic center.",image,M7: Open Star Cluster in Scorpius,https://apod.nasa.gov/apod/image/1401/m7_fenyes_960.jpg
Jürg Alean,2014-01-08,"Sunsets may be the most watched celestial event, but lately sunsets have even offered something extra. A sunspot so large it was visible to the naked eye is captured in Swiss skies in this sunset scene from January 5, crossing left to right near the center of a solar disk dimmed and distorted by Earth's dense atmosphere. Detailed views reveal a large solar active region composed of sunspots, some larger than planet Earth itself. Cataloged as active region AR 1944, on January 7 it produced a substantial solar flare and a coronal mass ejection (CME) forecast to reach Earth. The CME could trigger geomagnetic storms and aurora on January 9.",image,Sunspot at Sunset,https://apod.nasa.gov/apod/image/1401/ar1944_alean_mg_6384h900.jpg
Martin Pugh,2014-01-09,"This telescopic close-up shows off the otherwise faint emission nebula IC 410 in striking false-colors. It also features two remarkable inhabitants of the cosmic pond of gas and dust below and right of center, the tadpoles of IC 410. The picture is a composite of images taken through narrow band filters. The narrow band image data traces atoms in the nebula, with emission from sulfur atoms in red, hydrogen atoms in green, and oxygen in blue. Partly obscured by foreground dust, the nebula itself surrounds NGC 1893, a young galactic cluster of stars that energizes the glowing gas. Composed of denser cooler gas and dust the tadpoles are around 10 light-years long, potentially sites of ongoing star formation. Sculpted by wind and radiation from the cluster stars, their tails trail away from the cluster's central region. IC 410 lies some 12,000 light-years away, toward the constellation Auriga.",image,The Tadpoles of IC 410,https://apod.nasa.gov/apod/image/1401/IC410-SHO_pughCrop900.jpg
Don Goldman,2014-01-10,"A mere seven hundred light years from Earth, in the constellation Aquarius, a sun-like star is dying. Its last few thousand years have produced the Helix Nebula (NGC 7293), a well studied and nearby example of a Planetary Nebula, typical of this final phase of stellar evolution.  A total of 28.5 hours of exposure time have gone in to creating this deep view of the nebula. Combining narrow band image data from emission lines of hydrogen atoms in red and oxygen atoms in blue-green hues, it shows remarkable details of the Helix's brighter inner region, about 3 light-years across, but also follows fainter outer halo features that give the nebula a span of well over six light-years. The white dot at the Helix's center is this Planetary Nebula's hot, central star. A simple looking nebula at first glance, the Helix is now understood to have a surprisingly complex geometry.",image,NGC 7293: The Helix Nebula,https://apod.nasa.gov/apod/image/1401/HelixGoldmanSmall.jpg
